case	status	expected_exit	actual_exit	seconds
msb-signature	PASS	0	0	0
smolvm-signature	PASS	0	0	0
msb-entitlements	PASS	0	0	0
smolvm-entitlements	PASS	0	0	0
msb-doctor	PASS	0	0	0
registry-pull	PASS	0	0	2
base-save	PASS	0	0	0
fixture-build	PASS	0	0	6
host-checks	PASS	0	0	1
msb-load	PASS	0	0	0
msb-image-contract	PASS	0	0	1
msb-image-marker	PASS	0	0	0
smolvm-image-default-command	FAIL	0	1	0
smolvm-image-contract	FAIL	0	6	7
smolvm-image-marker	FAIL	0	1	0
msb-exit-code	PASS	37	37	0
smolvm-exit-code	PASS	37	37	0
msb-streams	PASS	0	0	0
smolvm-streams	PASS	0	0	1
msb-stdout-marker	PASS	0	0	0
msb-stderr-marker	PASS	0	0	0
smolvm-stdout-marker	PASS	0	0	0
smolvm-stderr-marker	PASS	0	0	0
msb-mounts	PASS	0	0	5
smolvm-directory-mounts	PASS	0	0	1
